,query,latitude,longitude,block,street_name,building,postal,service_year
72,SERANGOON MRT STATION NE12,1.34970788089564,103.873574849884,600,UPPER SERANGOON ROAD,SERANGOON MRT STATION (NE12),534801,2003
73,KOVAN MRT STATION NE13,1.36017917065237,103.885064856353,900,UPPER SERANGOON ROAD,KOVAN MRT STATION (NE13),534799,2003
74,HOUGANG MRT STATION NE14,1.37129226620797,103.892380513029,80,HOUGANG CENTRAL,HOUGANG MRT STATION (NE14),538758,2003
75,BUANGKOK MRT STATION NE15,1.38287001971672,103.893122569706,10,SENGKANG CENTRAL,BUANGKOK MRT STATION (NE15),545061,2006
76,SENGKANG MRT STATION NE16,1.39169462601522,103.895484694279,5,SENGKANG SQUARE,SENGKANG MRT STATION (NE16),545062,2003
77,PUNGGOL MRT STATION NE17,1.40454653668991,103.902072622229,70,PUNGGOL CENTRAL,PUNGGOL MRT STATION (NE17),828868,2003
78,DHOBY GHAUT MRT STATION CC1,1.29891164362677,103.84629250696,13,ORCHARD ROAD,DHOBY GHAUT MRT STATION (CC1),238893,2010
79,BRAS BASAH MRT STATION CC2,1.29686168649656,103.850667371637,65,BRAS BASAH ROAD,BRAS BASAH MRT STATION (CC2),189561,2010
80,ESPLANADE MRT STATION CC3,1.2936577245386,103.855081226245,90,BRAS BASAH ROAD,ESPLANADE MRT STATION (CC3),189562,2010
81,PROMENADE MRT STATION CC4,1.29399798636232,103.860350000188,2,TEMASEK AVENUE,PROMENADE MRT STATION (CC4),39193,2010
82,NICOLL HIGHWAY MRT STATION CC5,1.29976684675139,103.86363696572,20,REPUBLIC AVENUE,NICOLL HIGHWAY MRT STATION (CC5),38970,2010
83,STADIUM MRT STATION CC6,1.3028124684707,103.875337711089,3,STADIUM WALK,STADIUM MRT STATION (CC6),397692,2010
84,MOUNTBATTEN MRT STATION CC7,1.30620190525331,103.882528081052,301,MOUNTBATTEN ROAD,MOUNTBATTEN MRT STATION (CC7),398006,2010
85,DAKOTA MRT STATION CC8,1.30854798388121,103.889064718377,201,OLD AIRPORT ROAD,DAKOTA MRT STATION (CC8),397973,2010
86,PAYA LEBAR MRT STATION CC9,1.3172473854035,103.892260753884,15,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (CC9),409049,2010
87,MACPHERSON MRT STATION CC10,1.32607760171665,103.890391305725,171,PAYA LEBAR ROAD,MACPHERSON MRT STATION (CC10),409048,2010
88,TAI SENG MRT STATION CC11,1.33514150139202,103.888389300191,33,UPPER PAYA LEBAR ROAD,TAI SENG MRT STATION (CC11),534803,2010
89,BARTLEY MRT STATION CC12,1.34250117805245,103.880177899184,90,BARTLEY ROAD,BARTLEY MRT STATION (CC12),539788,2009
90,SERANGOON MRT STATION CC13,1.35063361526525,103.872771660431,21,SERANGOON CENTRAL,SERANGOON MRT STATION (CC13),556082,2009
91,LORONG CHUAN MRT STATION CC14,1.35161217074555,103.864151938651,150,SERANGOON AVENUE 3,LORONG CHUAN MRT STATION (CC14),554533,2009
92,BISHAN MRT STATION CC15,1.35131580146658,103.84914026532,17,BISHAN PLACE,BISHAN MRT STATION (CC15),579842,2009
93,MARYMOUNT MRT STATION CC16,1.348707263451,103.839423132332,60,MARYMOUNT ROAD,MARYMOUNT MRT STATION (CC16),573993,2009
94,CALDECOTT MRT STATION CC17,1.33767450815619,103.839529820338,38,TOA PAYOH RISE,CALDECOTT MRT STATION (CC17),298113,2011
95,BOTANIC GARDENS MRT STATION CC19,1.32211373558877,103.814984510627,100,CLUNY PARK ROAD,BOTANIC GARDENS MRT STATION (CC19),257494,2011
96,FARRER ROAD MRT STATION CC20,1.31743915158967,103.807379214161,71,FARRER ROAD,FARRER ROAD MRT STATION (CC20),268857,2011
97,HOLLAND VILLAGE MRT STATION CC21,1.31224029631595,103.796399122407,200,HOLLAND AVENUE,HOLLAND VILLAGE MRT STATION (CC21),278995,2011
98,BUONA VISTA MRT STATION CC22,1.30663450405,103.790709404436,150,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION (CC22),139350,2011
99,ONE-NORTH MRT STATION CC23,1.29975987493555,103.78745750525,9,AYER RAJAH AVENUE,ONE-NORTH MRT STATION (CC23),138647,2011
100,KENT RIDGE MRT STATION CC24,1.29353349887123,103.784572738173,301,SOUTH BUONA VISTA ROAD,KENT RIDGE MRT STATION (CC24),118177,2011
101,HAW PAR VILLA MRT STATION CC25,1.28257135772488,103.781752725064,270,PASIR PANJANG ROAD,HAW PAR VILLA MRT STATION (CC25),117396,2011
102,PASIR PANJANG MRT STATION CC26,1.27621352233766,103.791350313288,119,PASIR PANJANG ROAD,PASIR PANJANG MRT STATION (CC26),117424,2011
